Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Ford,Ecosport,2014,2.0 Freestyle 143 4x4,Plateado,Nafta,5,Manual,2.0,SUV,190.000 km,15000000
Ford,Ranger,2024,Raptor 3.0l V6 Ecoboost Biturbo Cabina Doble 4x4,Gris,Nafta,4,Automática,3.0,Pick-Up,9.700 km,85500
Ford,Focus,2017,Iii 2.0 Titanium At6,Rojo,Nafta,5,Automática,2.0,Hatchback,105.000 km,17500
Ford,Ecosport,2015,1.6 Se 110cv 4x2,Plateado,Nafta,5,Manual,1.6,SUV,54.530 km,18250000
Ford,Ranger,2015,3.2 Cd 4x4 Limited Tdci 200cv At,Negro,Diésel,4,Automática,3.2,Pick-Up,138.000 km,23999
Ford,Territory,2021,1.5t Titanium,Blanco,Nafta,5,Automática,1.5,SUV,91.000 km,34000000
Ford,Ka,2016,1.5 S,Rojo,Nafta,3,Manual,1.5,Hatchback,91.000 km,11800
Ford,Ranger,2024,Raptor 3.0l V6 Ecoboost Biturbo Cabina Doble 4x4,Blanco,Nafta,4,Automática,3.0,Pick-Up,66.500 km,73000
Ford,Ka,2017,1.5 Sel,Rojo,Nafta,5,Manual,1.5,Hatchback,89.000 km,12800
Ford,Ecosport,2018,1.5 Titanium 123cv 4x2,Rojo,Nafta,5,Manual,1.5,SUV,45.000 km,18500
Ford,Focus,2015,2.0 Se Mt 4p Año 2015 - Liv Motors,Blanco,Nafta,4,Manual,2.0,Hatchback,89.000 km,11900
Ford,Fiesta,2014,Kinetic 1.6 S Plus Excelente Estado!,Negro,Nafta,5,Manual,1.6,Sedán,68.500 km,11500
Ford,Bronco,2022,Sport 2.0 4wd Wildtrak At8,Plateado,Nafta,5,Automática,2.0,SUV,35.000 km,42000
Ford,Ka,2017,1.5 Se 4p Dd,Blanco,Nafta,5,Manual,1.5,Hatchback,140.000 km,13799000
Ford,Ka,2017,1.5 Se 4p Dd,Blanco,Nafta,5,Manual,1.5,Hatchback,140.000 km,13799000
Ford,Ranger,2015,2.5 Cd 4x2 Xl Safety Ivct 166cv,Plateado,Nafta,4,Manual,2.5,Pick-Up,112.000 km,12900000
Ford,Ka,2020,1.5 S,Blanco,Nafta,5,Manual,1.5,Hatchback,48.368 km,16900000
Ford,Ecosport,2021,1.5 Titanium 123cv 4x2,Blanco,Nafta,5,Automática,1.5,SUV,62.010 km,25000000
Ford,Ka,2017,1.5 Se,Blanco,Nafta,5,Manual,1.5,Hatchback,86.000 km,16900000
Ford,Focus,2015,Iii 2.0 Se Plus At6 81.177km 2015,Negro,Nafta,5,Automática,2.0,Hatchback,81.177 km,16900000
Ford,Ka,2020,1.5 S,Gris,Nafta,5,Manual,1.5,Hatchback,71.000 km,15590000
Ford,Ranger,2014,Limited 2014 Smart Garage,Dorado,Diésel,4,Automática,3.2,Pick-Up,102.000 km,22500
Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv,Gris,Diésel,4,Automática,3.2,Pick-Up,209.000 km,34500000
Ford,Bronco,2021,Wildtrak 2021 Smart Garage,Gris,Nafta,5,Automática,2.0,SUV,63.000 km,37000
Ford,Ranger,2021,3.2 Cd Limited Tdci 200cv,Plateado,Diésel,4,Automática,3.2,Pick-Up,130.000 km,33000
Ford,Bronco,2024,Sport 2.0 Ecoboost 4wd Wildtrak At8,Gris,Nafta,5,Automática,2.0,SUV,13.500 km,49000
Ford,Ranger,2017,2.5 Cd Ivct Xl 166cv,Blanco,Nafta,4,Manual,2.5,Pick-Up,282.000 km,22999000
Ford,Kuga,2013,1.6 Sel 6mt Fwd T 150 Cv,Azul,Nafta,5,Manual,1.6,SUV,140.000 km,15000
Ford,Ecosport,2016,Freestyle 1.6 Mt,Plateado,Nafta,5,Manual,1.6,SUV,68.500 km,18499900
Ford,Ecosport,2017,1.5 Se 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,50.000 km,16400
Ford,F-150,2023,Raptor 3.5l Bi-turbo,Negro,Nafta,4,Automática,3.5,Pick-Up,24.000 km,123000
Ford,Ka,2018,Sel 2018 1.5 Mt Smart Garage,Rojo,Nafta,5,Manual,1.5,Hatchback,84.000 km,13600
Ford,Ecosport,2018,2.0 Gdi Titanium 170cv 4x2,Negro,Nafta,5,Automática,2.0,SUV,79.000 km,18400
Ford,Mondeo,2018,2.0 Titanium Ecoboost At 240cv,Gris,Nafta,4,Automática,2.0,Sedán,90.685 km,23000
Ford,Bronco,2024,Sport 2.0 4wd Wildtrak At8 2023 2024 - (bruno M),Blanco,Nafta,5,Automática,2.0,SUV,10.000 km,58500000
Ford,F-150,2020,Raptor 3.5l Bi-turbo,Blanco,Nafta,4,Automática,3.5,Pick-Up,52.000 km,84000
Ford,F-150,2020,Raptor 3.5l Bi-turbo,Blanco,Nafta,4,Automática,3.5,Pick-Up,52.000 km,84000
Ford,Ranger,2024,Raptor 3.0l V6 Ecoboost Biturbo Cabina Doble 4x4,Azul,Nafta,4,Automática,3.0,Pick-Up,5.200 km,92000
Ford,Ecosport,2018,1.5 Se 123cv 4x2 At 78.000km 2018 (fran),Naranja,Nafta,5,Automática,1.5,SUV,78.000 km,18000000
Ford,Ranger,2024,Raptor 3.0l V6 Ecoboost Biturbo Cabina Doble 4x4,Azul,Nafta,4,Automática,3.0,Pick-Up,18.000 km,82000
Ford,Kuga,2018,2.0 Titanium At Awd,Blanco,Nafta,5,Automática,2.0,SUV,100.000 km,29500
Ford,Kuga,2017,2.0 Sel At 4x4,Plateado,Nafta,5,Automática,2.0,SUV,100.000 km,26900
Ford,Ecosport,2018,1.5 Titanium 123cv 4x2 // Forcammo,Gris,Nafta,5,Manual,1.5,SUV,121.000 km,22500000
Ford,Territory,2021,1.5t Sel,Blanco,Nafta,5,Automática,1.5,SUV,65.000 km,27900
Ford,Bronco,2023,Sport 2.0 4wd Wildtrak At8 9.200km 2023 (fran),Blanco,Nafta,5,Automática,2.0,SUV,9.200 km,58500000
Ford,Ecosport,2014,1.6 Se 110cv 4x2,Dorado,Nafta,5,Manual,1.6,SUV,126.000 km,12400
Ford,Focus,2009,2 2.0 Exe Sedan Trend Plus,Dorado,Nafta,4,Manual,2.0,Sedán,174.000 km,9600
Ford,Ranger,2023,3.0 Cd 4x4 Limited + At 250cv,Blanco,Diésel,4,Automática,3.0,Pick-Up,19.700 km,49900
Ford,Ranger,2023,2.0 Cd 4x4 Xlt At 210cv,Blanco,Diésel,4,Automática,2.0,Pick-Up,1.000 km,44000
Ford,Fiesta,2015,Kinetic,Blanco,Nafta,5,Manual,1.6,Hatchback,65.800 km,13000
Ford,Ranger,2019,3.2 Tdi 4x2 Dc Xlt L19,Gris,Diésel,4,Manual,TURBO DIESEL INYECCION,Pick-Up,109.007 km,30200000
Ford,Ka,2020,S 2020 1.5 Mt Sedan Smart Garage,Negro,Nafta,5,Manual,1.5,Hatchback,86.000 km,13200
Ford,Fiesta,2017,Se 1.6l,Azul,Nafta,5,Manual,1.6,Hatchback,120.717 km,13900000
Ford,Focus,2016,Iii 2.0 Sedan Titanium 2016 Unico Dueño,Blanco,Nafta,4,Automática,2.0,Sedán,105.000 km,15900
Ford,Ovalo,2024,Ford Ranger 2025 2.0 Cd 4x4 Xlt At 210cv,No disponible,Diésel,4,Automática,2.0,Pick-Up,1.850 km,30000000
Ford,Sel,2022,1.5l Gtdi 4x2 At (lili),Celeste,Nafta,5,Automática,1.5,SUV,54.000 km,33400000
Ford,Transit,2024,2.2 Furgon Mediano,Blanco,Diésel,2,Manual,2.2,Furgón,1.000 km,27500000
Ford,Mondeo,2009,2009 Titanium 1.8 Tdci,Gris,Diésel,4,Manual,1.8,Sedán,189.000 km,9500
Ford,Focus,2016,Iii 2.0 Se Plus At6,Dorado,Nafta,5,Automática,2.0,Hatchback,99.000 km,14500
Ford,Ecosport,2005,4x4,Gris,Nafta,5,Manual,2.0,SUV,169.000 km,9000
Ford,Focus,2014,Iii 2.0 Se Plus At6,Azul,Nafta,5,Automática,2.0,Hatchback,100.000 km,14800000
Ford,Ka,2017,1.5 Sel,Blanco,Nafta,5,Manual,1.5,Hatchback,95.000 km,12700
Ford,Ranger,2020,3.2 Cd Xls Tdci 200cv Manual 4x4,Gris,Diésel,4,Manual,3.2,Pick-Up,85.000 km,29000
Ford,Ka,2020,1.5 S,Blanco,Nafta,5,Manual,1.5,Hatchback,42.139 km,17450000
Ford,Fiesta,2015,Kinetic 1.6 Titanium Powershift 120cv,Plateado,Nafta,5,Automática,1.6,Hatchback,60.000 km,15800000
Ford,Fiesta,2014,Kinetic 1.6 Se Plus 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,123.000 km,13489900
Ford,Territory,2023,1.8 Titanium At,Azul,Nafta,5,Automática,1.8,SUV,7.973 km,42000
Ford,Fiesta,2017,Kinetic 1.6 Sedan Titanium Powershift 120cv,Plateado,Nafta,4,Automática,1.6,Sedán,120.000 km,13900
Ford,Ranger,2021,Raptor 2.0l Biturbo Cabina Doble 4x4,Blanco,Diésel,4,Automática,2.0,Pick-Up,51.600 km,46900
Ford,Ka,2020,1.5 Sel Kb,Dorado,Nafta,5,Manual,1.5,Hatchback,63.038 km,18700000
Ford,Ka,2009,1.6 Fly Viral 2009 Unico Dueño (eo),Gris,Nafta,3,Manual,1.6,Hatchback,151.000 km,7900000
Ford,Ecosport,2015,1.6 Freestyle 110cv 4x2 2015 Cubiertas Nuevas,Blanco,Nafta,5,Manual,1.6,SUV,115.000 km,14900
Ford,Kuga,2010,2010 2.5 Titanium At 4x4 L (ku05),Blanco,Nafta,5,Automática,2.5,SUV,205.000 km,11500
Ford,Ranger,2018,2.5 Cd Ivct Xlt 166cv - Liv Motors,Gris,Nafta,4,Manual,2.5,Pick-Up,112.000 km,26500
Ford,Ecosport,2017,1.6 Se 110cv 4x2,Negro,Nafta,5,Manual,1.6,SUV,58.300 km,15500
Ford,Ecosport,2022,1.5 Se 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,22.435 km,19900
Ford,Ranger,2024,3.0 V6 Cd 4x4 Xls At 250cv,Blanco,Diésel,4,Automática,3.0,Pick-Up,3.200 km,49000
Ford,Focus,2012,2 2.0 Exe Sedan Trend Plus,Gris,Nafta,4,Manual,2.0,Sedán,134.000 km,12300000
Ford,Ranger,2024,Raptor 3.0l V6 Ecoboost Biturbo Cabina Doble 4x4,Blanco,Nafta,4,Automática,3.0,Pick-Up,10.000 km,81500
Ford,Focus,2017,Iii 2.0 Se,Gris,Nafta,5,Manual,2.0,Hatchback,145.000 km,16500000
Ford,Puma,2003,1.7 Colección Clasico Banchik,Azul,Nafta,2,Manual,1.7,No disponible,88.000 km,11900
Ford,F-100,1976,1974 Motor 221 Original Nafta Nunca Gas,Verde,Nafta,2,Manual,3.6,Pick-Up,200.000 km,14500
Ford,Ecosport,2015,"5 Puertas 2,0 Titanium 2015 Bl",Naranja,Nafta,5,Manual,2.0,SUV,141.559 km,17500000
Ford,Ranger,2013,2013 3.2 Cd 4x4 Xlt Tdci 200cv,No disponible,Diésel,4,Manual,3.2,Pick-Up,250.000 km,23900
Ford,Ka,2020,1.5 Sel At 5p,Plateado,Nafta,5,Automática,1.5,Hatchback,68.000 km,16500
Ford,Ranger,2017,3.2 Cd Limited Tdci 200cv Automática,Blanco,Diésel,4,Automática,3.2,Pick-Up,89.000 km,32990000
Ford,Ranger,2017,3.2 Cd Limited Tdci 200cv Automática,Blanco,Diésel,4,Automática,3.2,Pick-Up,89.000 km,32990000
Ford,Fiesta,2020,Kinetic 1.6 Se 120cv 2020 65.829km,Blanco,Nafta,5,Manual,1.6,Hatchback,65.829 km,18900000
Ford,Focus,2016,Iii 2.0 Sedan Titanium Mt,Negro,Nafta,4,Manual,2.0,Sedán,121.000 km,17500000
Ford,Ranger,2016,2.2 Cd 4x4 Xl Safety Tdci 125cv,Gris,Diésel,4,Manual,2.2,Pick-Up,158.000 km,23900000
Ford,Ranger,2023,3.2 Cd Xlt Tdci 200cv Manual 4x2 // Forcammo,Blanco,Diésel,4,Manual,3.2,Pick-Up,92.000 km,38000000
Ford,Fiesta,2012,Kinetic 1.6 Design 120cv Titanium,Blanco,Nafta,5,Manual,1.6,Hatchback,122.000 km,10500
Ford,Fiesta,2018,Kinetic 1.6 Se,Blanco,Nafta,5,Manual,1.6,Hatchback,85.000 km,16800000
Ford,Mondeo,2019,"Hibrido Vignale 2.0 Ecvt 2019 53,862 Km",Plateado,Híbrido,4,Automática,2.0,Sedán,53.862 km,36800000
Ford,Territory,2021,1.5 T Titanium,Blanco,Nafta,5,Automática,1.5,SUV,42.000 km,32900000
Ford,Ecosport,2020,1.5 Se 123cv 4x2 Smart Garage,Plateado,Nafta,5,Automática,1.5,SUV,68.000 km,17400
Ford,Ranger,2018,2.5 Cd Ivct Xlt 166cv N,Blanco,Nafta,4,Manual,2.5,Pick-Up,175.000 km,26800000
Ford,Focus,2015,Iii 1.6 S,Negro,Nafta,5,Manual,1.6,Hatchback,110.000 km,12500
Ford,F-150,2020,Raptor 3.5l Bi-turbo,Blanco,Diésel,4,Automática,3.5,Pick-Up,62.000 km,78000
Ford,Focus,2019,Iii 1.6 S,Blanco,Nafta,5,Manual,1.6,Hatchback,74.000 km,15000
Ford,Focus,2016,Iii 2.0 Titanium At6,Gris,Nafta,5,Automática,2.0,Hatchback,90.000 km,20700000
Ford,Fiesta,2018,Kinetic 1.6 S 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,45.000 km,12500
Ford,Fiesta,2014,Kinetic 1.6 Titanium Powershift 120cv,Blanco,Nafta,5,Automática,1.6,Hatchback,119.407 km,13100
Ford,Ecosport,2018,1.5 Se 123cv 4x2 2018 Unico Dueño Impecable,Azul,Nafta,5,Manual,1.5,SUV,67.000 km,16900
Ford,Ka,2018,1.5 Se 2018,Blanco,Nafta,5,Manual,1.5,Hatchback,100.293 km,15400000
Ford,Mondeo,2020,2.0 Ecvt Vignale Hibrido,Gris,Híbrido/Nafta,4,Automática,2.0,Sedán,53.862 km,34900000
Ford,Focus,2016,Iii 2.0 Se Plus At6,Dorado,Nafta,5,Automática,2.0,Hatchback,99.000 km,14500
Ford,Ecosport,2005,4x4,Gris,Nafta,5,Manual,2.0,SUV,169.000 km,9000
Ford,Focus,2014,Iii 2.0 Se Plus At6,Azul,Nafta,5,Automática,2.0,Hatchback,100.000 km,14800000
Ford,Ka,2017,1.5 Sel,Blanco,Nafta,5,Manual,1.5,Hatchback,95.000 km,12700
Ford,Ranger,2020,3.2 Cd Xls Tdci 200cv Manual 4x4,Gris,Diésel,4,Manual,3.2,Pick-Up,85.000 km,29000
Ford,Ka,2020,1.5 S,Blanco,Nafta,5,Manual,1.5,Hatchback,42.139 km,17450000
Ford,Fiesta,2015,Kinetic 1.6 Titanium Powershift 120cv,Plateado,Nafta,5,Automática,1.6,Hatchback,60.000 km,15800000
Ford,Fiesta,2014,Kinetic 1.6 Se Plus 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,123.000 km,13489900
Ford,Territory,2023,1.8 Titanium At,Azul,Nafta,5,Automática,1.8,SUV,7.973 km,42000
Ford,Fiesta,2017,Kinetic 1.6 Sedan Titanium Powershift 120cv,Plateado,Nafta,4,Automática,1.6,Sedán,120.000 km,13900
Ford,Ranger,2021,Raptor 2.0l Biturbo Cabina Doble 4x4,Blanco,Diésel,4,Automática,2.0,Pick-Up,51.600 km,46900
Ford,Ka,2020,1.5 Sel Kb,Dorado,Nafta,5,Manual,1.5,Hatchback,63.038 km,18700000
Ford,Ka,2009,1.6 Fly Viral 2009 Unico Dueño (eo),Gris,Nafta,3,Manual,1.6,Hatchback,151.000 km,7900000
Ford,Ecosport,2015,1.6 Freestyle 110cv 4x2 2015 Cubiertas Nuevas,Blanco,Nafta,5,Manual,1.6,SUV,115.000 km,14900
Ford,Kuga,2010,2010 2.5 Titanium At 4x4 L (ku05),Blanco,Nafta,5,Automática,2.5,SUV,205.000 km,11500
Ford,Ranger,2018,2.5 Cd Ivct Xlt 166cv - Liv Motors,Gris,Nafta,4,Manual,2.5,Pick-Up,112.000 km,26500
Ford,Ecosport,2017,1.6 Se 110cv 4x2,Negro,Nafta,5,Manual,1.6,SUV,58.300 km,15500
Ford,Ecosport,2022,1.5 Se 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,22.435 km,19900
Ford,Ranger,2024,3.0 V6 Cd 4x4 Xls At 250cv,Blanco,Diésel,4,Automática,3.0,Pick-Up,3.200 km,49000
Ford,Focus,2012,2 2.0 Exe Sedan Trend Plus,Gris,Nafta,4,Manual,2.0,Sedán,134.000 km,12300000
Ford,Ranger,2024,Raptor 3.0l V6 Ecoboost Biturbo Cabina Doble 4x4,Blanco,Nafta,4,Automática,3.0,Pick-Up,10.000 km,81500
Ford,Focus,2017,Iii 2.0 Se,Gris,Nafta,5,Manual,2.0,Hatchback,145.000 km,16500000
Ford,Puma,2003,1.7 Colección Clasico Banchik,Azul,Nafta,2,Manual,1.7,No disponible,88.000 km,11900
Ford,F-100,1976,1974 Motor 221 Original Nafta Nunca Gas,Verde,Nafta,2,Manual,3.6,Pick-Up,200.000 km,14500
Ford,Ecosport,2015,"5 Puertas 2,0 Titanium 2015 Bl",Naranja,Nafta,5,Manual,2.0,SUV,141.559 km,17500000
Ford,Ranger,2013,2013 3.2 Cd 4x4 Xlt Tdci 200cv,No disponible,Diésel,4,Manual,3.2,Pick-Up,250.000 km,23900
Ford,Ka,2020,1.5 Sel At 5p,Plateado,Nafta,5,Automática,1.5,Hatchback,68.000 km,16500
Ford,Ranger,2017,3.2 Cd Limited Tdci 200cv Automática,Blanco,Diésel,4,Automática,3.2,Pick-Up,89.000 km,32990000
Ford,Ranger,2017,3.2 Cd Limited Tdci 200cv Automática,Blanco,Diésel,4,Automática,3.2,Pick-Up,89.000 km,32990000
Ford,Fiesta,2020,Kinetic 1.6 Se 120cv 2020 65.829km,Blanco,Nafta,5,Manual,1.6,Hatchback,65.829 km,18900000
Ford,Focus,2016,Iii 2.0 Sedan Titanium Mt,Negro,Nafta,4,Manual,2.0,Sedán,121.000 km,17500000
Ford,Ranger,2016,2.2 Cd 4x4 Xl Safety Tdci 125cv,Gris,Diésel,4,Manual,2.2,Pick-Up,158.000 km,23900000
Ford,Ranger,2023,3.2 Cd Xlt Tdci 200cv Manual 4x2 // Forcammo,Blanco,Diésel,4,Manual,3.2,Pick-Up,92.000 km,38000000
Ford,Fiesta,2012,Kinetic 1.6 Design 120cv Titanium,Blanco,Nafta,5,Manual,1.6,Hatchback,122.000 km,10500
Ford,Fiesta,2018,Kinetic 1.6 Se,Blanco,Nafta,5,Manual,1.6,Hatchback,85.000 km,16800000
Ford,Mondeo,2019,"Hibrido Vignale 2.0 Ecvt 2019 53,862 Km",Plateado,Híbrido,4,Automática,2.0,Sedán,53.862 km,36800000
Ford,Territory,2021,1.5 T Titanium,Blanco,Nafta,5,Automática,1.5,SUV,42.000 km,32900000
Ford,Ecosport,2020,1.5 Se 123cv 4x2 Smart Garage,Plateado,Nafta,5,Automática,1.5,SUV,68.000 km,17400
Ford,Ranger,2018,2.5 Cd Ivct Xlt 166cv N,Blanco,Nafta,4,Manual,2.5,Pick-Up,175.000 km,26800000
Ford,Focus,2015,Iii 1.6 S,Negro,Nafta,5,Manual,1.6,Hatchback,110.000 km,12500
Ford,F-150,2020,Raptor 3.5l Bi-turbo,Blanco,Diésel,4,Automática,3.5,Pick-Up,62.000 km,78000
Ford,Focus,2019,Iii 1.6 S,Blanco,Nafta,5,Manual,1.6,Hatchback,74.000 km,15000
Ford,Focus,2016,Iii 2.0 Titanium At6,Gris,Nafta,5,Automática,2.0,Hatchback,90.000 km,20700000
Ford,Fiesta,2018,Kinetic 1.6 S 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,45.000 km,12500
Ford,Fiesta,2014,Kinetic 1.6 Titanium Powershift 120cv,Blanco,Nafta,5,Automática,1.6,Hatchback,119.407 km,13100
Ford,Ecosport,2018,1.5 Se 123cv 4x2 2018 Unico Dueño Impecable,Azul,Nafta,5,Manual,1.5,SUV,67.000 km,16900
Ford,Ka,2018,1.5 Se 2018,Blanco,Nafta,5,Manual,1.5,Hatchback,100.293 km,15400000
Ford,Mondeo,2020,2.0 Ecvt Vignale Hibrido,Gris,Híbrido/Nafta,4,Automática,2.0,Sedán,53.862 km,34900000
Ford,Ecosport,2014,2.0 Titanium 143cv 4x2,Rojo,Nafta/GNC,5,Manual,2.0,SUV,112.000 km,13900
Ford,Ka,2017,1.5 S,Gris,Nafta,5,Manual,1.5,Hatchback,70.000 km,12500
Ford,Ecosport,2018,1.5 Se 123cv 4x2 Smart Garage,Azul,Nafta,5,Manual,1.5,SUV,53.000 km,15900
Ford,Ranger,2021,3.2 Cd Xlt Tdci 200cv Automática 4x4,Blanco,Diésel,4,Automática,3.2,Pick-Up,100.000 km,35500000
Ford,Ranger,2021,Raptor 2.0l Biturbo Cabina Doble 4x4,Azul,Diésel,4,Automática,2.0,Pick-Up,88.000 km,43000
Ford,F-150,2023,Raptor 3.5l Bi-turbo,Negro,Nafta,4,Automática,3.5,Pick-Up,28.900 km,112900
Ford,Ka,2020,S 4p,Negro,Nafta,4,Manual,1.5,Hatchback,83.200 km,15900000
Ford,Maverick,2024,2.0 Xlt 4x2 Entrega En Cuota 5,Azul,Nafta,4,Automática,2.0,Pick-Up,1.000 km,42000000
Ford,Ecosport,2021,1.5 Freestyle 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,41.600 km,22800000
Ford,Ranger,2016,2.2 Cd 4x2 Xl Safety Tdci 125cv // Forcamsm,Rojo,Diésel,4,Manual,2.2,Pick-Up,85.000 km,24000000
Ford,Ka,2021,1.5 Freestyle Se Gr Us,Marrón,Nafta,5,Manual,1.5,Hatchback,87.700 km,17900000
Ford,Ranger,2022,3.2 Cd Limited Tdci 200cv Automática // Forcammo,Blanco,Diésel,4,Automática,3.2,Pick-Up,87.000 km,45000000
Ford,Ranger,2022,2.2 Cd Xl Tdci 125cv 4x4 // Forcammo,Gris,Diésel,4,Manual,2.2,Pick-Up,87.000 km,32000000
Ford,Ecosport,2009,1.6 Xls Mp3 4x2 Año 2009 - Liv Motors,Gris,Nafta,5,Manual,1.6,SUV,160.000 km,9500000
Ford,Territory,2024,1.8 Ecoboost Titanium At,Gris,Nafta,5,Automática,1.8,SUV,1.300 km,43000000
Ford,Ecosport,2019,1.5 Titanium 123cv 4x2 Manual,Azul,Nafta,5,Manual,1.5,SUV,37.700 km,19900000
Ford,Fiesta,2018,Kinetic 1.6 Se,Azul,Nafta,5,Manual,1.6,Hatchback,52.000 km,17800000
Ford,Ecosport,2020,1.5 Freestyle 123cv 4x2,Azul,Nafta,5,Manual,1.5,SUV,30.000 km,24500000
Ford,Territory,2022,1.5t Titanium,Dorado,Nafta,5,Automática,1.5,SUV,23.000 km,38500000
Ford,Ranger,2020,3.2 Cd Limited Tdci 200cv Automática,Naranja,Diésel,4,Automática,3.2,Pick-Up,76.000 km,33500
